date,anlage,kurs,volume,depotwert,return,index,gesamtwert_prev,gewicht_prev,gewichtete_rendite,historical_max,drawdown,weighted_drawdown,cumulative_buys,cumulative_sales,cumulative_dividends,total_return,total_return_old,weighted_total_return,unrealized_gain,unrealized_gain_pct
2022-08-30,AMZN,128.72999572753906,0.0,0.0,,,91975.6273059082,0.4630443963864027,,128.72999572753906,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-08-30,APPLE,156.14288330078125,20.0,3122.857666015625,,,91975.6273059082,0.057789020099008014,,156.14288330078125,0.0,0.0,3000.0,0.0,0.0,122.857666015625,,0.04095255533854167,,
2022-08-30,BTC,19796.80859375,0.0,0.0,,,91975.6273059082,0.05217584467755326,,19796.80859375,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-08-30,ETH,1523.8388671875,0.1,152.38388671875,,,,,,1523.8388671875,0.0,,130.0,0.0,0.0,22.383886718750006,,0.17218374399038466,,
2022-08-30,Gesamtwert,0.0,,3275.241552734375,,,91975.6273059082,0.2261299137939351,,0.0,0.0,0.0,3130.0,0.0,0.0,145.241552734375,3275.241552734375,0.0464030519918131,,
2022-08-30,MSCI,73.98400115966797,0.0,0.0,,,91975.6273059082,0.20086082504310093,,73.98400115966797,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-08-31,AMZN,126.7699966430664,0.0,0.0,-0.015225659516225343,98.47743404837746,6550.48310546875,0.0,-0.0,128.72999572753906,-0.015225659516225369,-0.0,0.0,0.0,0.0,0.0,,,,
2022-08-31,APPLE,154.48233032226562,20.0,3089.6466064453125,-0.010634829736792195,98.93651702632079,6550.48310546875,0.9534740005385158,-0.010140033654185225,156.14288330078125,-0.010634829736792214,-0.010140033654185244,3000.0,0.0,0.0,89.6466064453125,,0.0298822021484375,,
2022-08-31,BTC,20049.763671875,0.0,0.0,0.012777568511970205,101.27775685119703,6550.48310546875,0.0,0.0,20049.763671875,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-08-31,ETH,1553.6849365234375,0.116,180.22745263671877,0.019586105840063928,101.9586105840064,6550.48310546875,0.046525999461484134,0.0009112631497673855,1553.6849365234375,0.0,0.0,150.96,0.0,0.0,29.267452636718758,,0.19387554740804688,,
2022-08-31,Gesamtwert,0.0,,3269.874059082031,,,6550.48310546875,1.0,,0.0,-0.009228770504417838,-0.009228770504417838,3150.96,0.0,0.0,118.91405908203126,3269.874059082031,0.03773899353912181,,
2022-08-31,MSCI,73.4280014038086,0.0,0.0,-0.00751513499059675,99.24848650094033,6550.48310546875,0.0,-0.0,73.98400115966797,-0.0075151349905968005,-0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01,AMZN,127.81999969482422,0.0,0.0,0.008282741023605045,99.29309713126932,6539.748118164062,0.0,0.0,128.72999572753906,-0.00706902868730671,-0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01,APPLE,155.20945739746094,20.0,3104.1891479492188,0.004706862420306823,99.40219760030801,6539.748118164062,0.9448824482593942,0.004447431687319649,156.14288330078125,-0.005978023996919764,-0.005648529949962955,3000.0,0.0,0.0,104.18914794921875,,0.034729715983072916,,
2022-09-01,BTC,20127.140625,0.0,0.0,0.0038592451457939436,101.6686125427019,6539.748118164062,0.0,0.0,20127.140625,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01,ETH,1586.1767578125,0.116,183.99650390625,0.020912747832753542,104.09084529652763,6539.748118164062,0.05511755174060586,0.0011526594607100364,1586.1767578125,0.0,0.0,150.96,0.0,0.0,33.036503906250005,,0.21884276567468205,,
2022-09-01,Gesamtwert,0.0,,3288.1856518554687,,,6539.748118164062,1.0,,0.0,-0.003680361312397196,-0.003680361312397196,3150.96,0.0,0.0,137.22565185546875,3288.1856518554687,0.04355042649080558,,
2022-09-01,MSCI,72.91200256347656,0.0,0.0,-0.007027276113568126,98.55103998244448,6539.748118164062,0.0,-0.0,73.98400115966797,-0.01448960017555527,-0.0,0.0,0.0,0.0,0.0,,,,
2022-09-02,AMZN,127.51000213623047,0.0,0.0,-0.002425266463259912,99.05228491276364,6576.371303710937,0.0,-0.0,128.72999572753906,-0.009477150872363478,-0.0,0.0,0.0,0.0,0.0,,,,
2022-09-02,APPLE,153.09689331054688,20.0,3061.9378662109375,-0.013611052588787809,98.04922906132914,6576.371303710937,0.9440431522464604,-0.012849420991311589,156.14288330078125,-0.019507709386708465,-0.018416119462536126,3000.0,0.0,0.0,61.9378662109375,,0.020645955403645833,,
2022-09-02,BTC,19969.771484375,0.0,0.0,-0.007818752974256604,100.8736907759951,6576.371303710937,0.0,-0.0,20127.140625,-0.00781875297425662,-0.0,0.0,0.0,0.0,0.0,,,,
2022-09-02,ETH,1577.220458984375,0.116,182.95757324218752,-0.005646469590486647,103.50309950391275,6576.371303710937,0.05595684775353966,-0.0003159586392198527,1586.1767578125,-0.005646469590486657,-0.0003159586392198533,150.96,0.0,0.0,31.997573242187514,,0.21196060706271536,,
2022-09-02,Gesamtwert,0.0,,3244.895439453125,,,6576.371303710937,1.0,,0.0,-0.016797287589073447,-0.016797287589073447,3150.96,0.0,0.0,93.93543945312501,3244.895439453125,0.02981168896245113,,
2022-09-02,MSCI,73.91200256347656,0.0,0.0,0.013715163002544273,99.90268355987396,6576.371303710937,0.0,0.0,73.98400115966797,-0.0009731644012605248,-0.0,0.0,0.0,0.0,0.0,,,,
